iter	RMSE
0	78327.22246
1	76441.8259
2	74675.6454
3	72789.55963
4	71171.72339
5	69669.47559
6	68033.46567
7	66427.26857
8	65023.16616
9	63607.50475
10	62203.72753
11	60839.07201
12	59382.27507
13	58073.92595
14	56852.11457
15	55646.83389
16	54453.38974
17	53324.066
18	52233.6372
19	51186.13485
20	50121.93245
21	49048.44455
22	48220.24764
23	47296.62553
24	46533.27718
25	45715.43861
26	44815.6394
27	44088.44311
28	43272.60514
29	42471.13082
30	41764.23348
31	41113.03506
32	40466.4654
33	39793.07519
34	39105.75408
35	38446.21418
36	37901.7489
37	37339.49297
38	36780.9578
39	36239.60272
40	35715.86672
41	35278.0578
42	34828.14001
43	34306.03332
44	33871.04017
45	33491.26376
46	33107.81622
47	32709.84489
48	32398.0272
49	32019.16438
50	31665.03566
51	31252.76335
52	30947.99179
53	30616.61229
54	30306.49502
55	29976.3899
56	29716.69184
57	29457.90321
58	29164.73574
59	28908.19199
60	28649.36963
61	28409.99454
62	28165.74306
63	27966.36358
64	27705.92021
65	27472.18876
66	27249.19777
67	27009.11157
68	26774.80323
69	26529.34045
70	26345.75857
71	26133.22211
72	25943.8372
73	25800.89945
74	25630.61379
75	25451.05224
76	25251.73273
77	25105.58347
78	24954.4569
79	24792.52485
80	24644.48855
81	24506.9397
82	24320.90718
83	24157.42131
84	24002.7661
85	23874.13037
86	23746.89182
87	23592.92908
88	23434.94406
89	23319.65785
90	23206.59811
91	23082.03127
92	22935.35545
93	22812.97
94	22703.44859
95	22601.82005
96	22464.63678
97	22358.93005
98	22273.44263
99	22187.85003
100	22082.51407
101	21976.5983
102	21873.96107
103	21764.26883
104	21672.61224
105	21566.63936
106	21448.07943
107	21361.7295
108	21313.2553
109	21220.97461
110	21116.37614
111	21039.18775
112	20940.91294
113	20869.44432
114	20768.79825
115	20701.03922
116	20602.28319
117	20516.38786
118	20429.29933
119	20363.68734
120	20290.32233
121	20224.92559
122	20180.21421
123	20108.87296
124	20042.15412
125	19980.70946
126	19895.83781
127	19829.52057
128	19771.77058
129	19738.85378
130	19683.58366
131	19600.93628
132	19532.4814
133	19494.09443
134	19441.55695
135	19373.77084
136	19292.66308
137	19221.69627
138	19159.2483
139	19082.71783
140	19014.00035
141	18969.88977
