iter	Passed	Remaining
0	153	152941
1	156	77976
2	159	52987
3	162	40387
4	164	32826
5	167	27788
6	171	24381
7	175	21738
8	179	19727
9	182	18054
10	184	16627
11	187	15442
12	190	14453
13	193	13599
14	195	12853
15	198	12204
16	201	11627
17	203	11115
18	206	10656
19	209	10244
20	212	9899
21	214	9557
22	217	9244
23	220	8959
24	223	8700
25	225	8461
26	228	8239
27	231	8026
28	233	7830
29	236	7650
30	239	7480
31	241	7317
32	244	7166
33	247	7031
34	250	6902
35	253	6778
36	255	6654
37	258	6543
38	261	6435
39	263	6332
40	266	6231
41	269	6149
42	272	6062
43	275	5977
44	277	5891
45	280	5808
46	282	5733
47	285	5658
48	287	5587
49	290	5520
50	293	5456
51	295	5393
52	298	5337
53	301	5287
54	304	5235
55	307	5182
56	310	5133
57	312	5083
58	315	5034
59	318	4992
60	321	4947
61	323	4899
62	326	4855
63	329	4818
64	332	4776
65	334	4736
66	337	4697
67	339	4658
68	342	4626
69	346	4599
70	348	4563
71	351	4527
72	353	4493
73	356	4459
74	359	4428
75	361	4396
76	364	4365
77	366	4334
78	369	4304
79	371	4277
80	374	4249
81	377	4221
82	379	4193
83	382	4166
84	384	4140
85	387	4115
86	389	4090
87	392	4066
88	394	4041
89	397	4017
90	399	3994
91	402	3971
92	405	3950
93	407	3928
94	410	3907
95	412	3887
96	415	3866
97	417	3846
98	420	3825
99	422	3805
100	425	3787
101	427	3767
102	430	3748
103	432	3730
104	435	3712
105	438	3694
106	440	3677
107	443	3660
108	445	3643
109	448	3627
110	450	3610
111	453	3593
112	455	3577
113	458	3562
114	461	3547
115	463	3532
116	466	3517
117	468	3502
118	471	3489
119	473	3475
120	476	3461
121	479	3448
122	481	3435
123	484	3422
124	487	3409
125	489	3395
126	492	3382
127	494	3369
128	497	3357
129	499	3344
130	502	3331
131	504	3319
132	507	3306
133	510	3296
134	513	3290
135	516	3280
136	519	3274
137	522	3263
138	525	3253
139	527	3242
140	530	3231
141	533	3220
142	535	3209
143	538	3198
144	540	3187
145	543	3176
146	545	3165
147	548	3157
148	551	3147
149	553	3137
150	556	3127
151	558	3117
152	561	3107
153	564	3098
154	566	3089
155	569	3079
156	571	3070
157	574	3061
158	576	3051
159	579	3043
160	582	3034
161	584	3025
162	587	3017
163	590	3007
164	592	2999
165	595	2989
166	597	2981
167	600	2972
168	602	2963
169	605	2955
170	607	2946
171	610	2938
172	613	2930
173	615	2921
